X,Y,Z,X_size,Y_size,Z_size,Density,Rock_code,Ore_per,Au_grade,Block_ton,Au_mass
2516360,5823020,6720,40,40,40,0.0769,51,100,0.0182,4033.2512,51.38362
2516400,5822900,6680,40,40,40,0.0769,51,100,0.0131,4921.6,45.131072
2516400,5822900,6720,40,40,40,0.0769,51,100,0.0178,2409.1232,30.017675
2516400,5822940,6680,40,40,40,0.0769,51,100,0.0087,4845.80736,29.510967
2516400,5822940,6720,40,40,40,0.0769,51,100,0.0129,1239.25888,11.190508
2516400,5822980,6720,40,40,40,0.0769,51,100,0.0228,272.65664,4.3516
2516400,5823020,6720,40,40,40,0.0769,51,100,0.0129,113.1968,1.022167
2516440,5822900,6720,40,40,40,0.0769,51,100,0.0178,486.74624,6.064858
2516440,5822940,6680,40,40,40,0.0769,51,100,0.014,4809.87968,47.136821
2516440,5822940,6720,40,40,40,0.0769,51,100,0.0178,14.27264,0.177837
2516440,5822980,6680,40,40,40,0.0769,51,100,0.0184,3811.7792,49.095716
2516440,5823020,6680,40,40,40,0.0769,51,100,0.0155,2416.5056,26.219086
2516480,5822900,6720,40,40,40,0.0769,51,100,0.0003,94.98688,0
2516480,5822940,6680,40,40,40,0.0769,51,100,0.0103,2396.32704,17.277518
2516480,5822980,6680,40,40,40,0.0769,51,100,0.0128,976.9376,8.753361
2516480,5823020,6680,40,40,40,0.0769,51,100,0.0131,196.864,1.805243
2516360,5822900,6760,40,40,40,0.076,0,100,0,47.1808,0
2516360,5823020,6760,40,40,40,0.076,0,100,0,111.872,0
2516400,5822900,6760,40,40,40,0.076,0,100,0,16.0512,0
2516400,5823060,6720,40,40,40,0.0769,51,100,0.0056,473.45792,1.855955
2516400,5823100,6720,40,40,40,0.0769,51,100,0.0024,2003.0912,0
2516400,5823140,6720,40,40,40,0.0769,51,100,0.0049,3642.47616,12.493693
2516400,5823180,6720,40,40,40,0.0769,51,100,0.009,4782.31872,30.128608
2516440,5823060,6680,40,40,40,0.0769,51,100,0.0131,962.66496,8.827638
2516440,5823100,6680,40,40,40,0.0769,51,100,0.0151,598.95872,6.330994
2516440,5823140,6680,40,40,40,0.0769,51,100,0.0134,2236.8672,20.981814
2516440,5823140,6720,40,40,40,0.0769,51,100,0.0125,117.62624,1.02923
2516440,5823180,6680,40,40,40,0.0769,51,100,0.0088,4260.13696,26.242444
2516440,5823180,6720,40,40,40,0.0769,51,100,0.0078,1193.488,6.516444
2516480,5823060,6640,40,40,40,0.0769,44,100,0.0054,4921.6,18.603648
2516480,5823060,6680,40,40,40,0.0769,51,100,0.0121,105.8144,0.896248
2516480,5823100,6680,40,40,40,0.0769,51,100,0.0099,232.79168,1.613246
2516480,5823140,6680,40,40,40,0.0769,51,100,0.0114,465.58336,3.715355
2516480,5823180,6680,40,40,40,0.0769,51,100,0.0088,557.12512,3.431891
2516360,5823060,6760,40,40,40,0.076,0,100,0,229.5808,0
2516360,5823100,6760,40,40,40,0.076,0,100,0,162.944,0
2516360,5823140,6760,40,40,40,0.076,0,100,0,14.1056,0
2516400,5823100,6760,40,40,40,0.076,0,100,0,36.9664,0
2516400,5823140,6760,40,40,40,0.076,0,100,0,73.4464,0
2516400,5823180,6760,40,40,40,0.076,0,100,0,207.2064,0
2516400,5823220,6720,40,40,40,0.0769,51,100,0.0086,4921.10784,29.625069
2516400,5823260,6720,40,40,40,0.0769,51,100,0.0047,4833.0112,15.900607
2516440,5823220,6680,40,40,40,0.0769,51,100,0.0087,4899.4528,29.837668
2516440,5823220,6720,40,40,40,0.0769,51,100,0.0068,2589.25376,12.324848
2516440,5823260,6720,40,40,40,0.0769,51,100,0.0058,3916.11712,15.899436
2516440,5823300,6720,40,40,40,0.0769,51,100,0.0057,4797.57568,19.142327
2516440,5823340,6720,40,40,40,0.0769,51,100,0.0052,4803.97376,17.486464
2516480,5823220,6680,40,40,40,0.0769,51,100,0.0108,1065.5264,8.05538
2516480,5823260,6720,40,40,40,0.0769,51,100,0.0052,43.31008,0.157649
2516480,5823300,6680,40,40,40,0.0769,44,100,0.007,4213.87392,20.647982
2516480,5823300,6720,40,40,40,0.0769,51,100,0.0067,1606.9024,7.536372
2516480,5823340,6720,40,40,40,0.0769,51,100,0.0055,4070.65536,15.672023
2516400,5823220,6760,40,40,40,0.076,0,100,0,241.7408,0
2516400,5823260,6760,40,40,40,0.076,0,100,0,36.9664,0
2516440,5823220,6760,40,40,40,0.076,0,100,0,69.5552,0
2516440,5823260,6760,40,40,40,0.076,0,100,0,264.6016,0
2516440,5823300,6760,40,40,40,0.076,0,100,0,253.4144,0
2516440,5823340,6760,40,40,40,0.076,0,100,0,112.8448,0
2516480,5823300,6760,40,40,40,0.076,0,100,0,15.0784,0
2516480,5823340,6760,40,40,40,0.076,0,100,0,201.856,0
2516360,5823380,6760,40,40,40,0.076,0,100,0,307.8912,0
2516400,5823420,6760,40,40,40,0.076,0,100,0,88.5248,0
2516440,5823380,6760,40,40,40,0.076,0,100,0,51.5584,0
2516480,5823380,6760,40,40,40,0.076,0,100,0,72.96,0
2516480,5823780,6760,40,40,40,0.076,0,100,0,495.1552,0
2516480,5823820,6760,40,40,40,0.076,0,100,0,1989.8624,0
2516520,5821740,6720,40,40,40,0.076,0,100,0,229.0944,0
2516560,5821740,6680,40,40,40,0.0769,51,100,0.0016,3120.78656,0
2516600,5821740,6680,40,40,40,0.0769,51,100,0.0019,185.05216,0
2516520,5821780,6720,40,40,40,0.076,0,100,0,26.752,0
2516520,5821820,6680,40,40,40,0.0769,51,100,0.0011,4075.57696,0
2516520,5821860,6680,40,40,40,0.0769,51,100,0.0001,3662.16256,0
2516520,5821900,6680,40,40,40,0.0769,51,100,0.0007,2146.80192,0
2516560,5821780,6680,40,40,40,0.0769,51,100,0.0025,2144.83328,0
2516560,5821820,6680,40,40,40,0.0769,51,100,0.0021,837.16416,0
2516560,5821860,6640,40,40,40,0.0769,51,0,0.0011,4167.11872,0
2516560,5821860,6680,40,40,40,0.0769,51,100,0.0005,92.52608,0
2516560,5821900,6640,40,40,40,0.0769,51,0,0.0001,2956.40512,0
2516600,5821780,6640,40,40,40,0.0745,51,0,0.0016,3271.3248,0
2516600,5821780,6680,40,40,40,0.0769,51,100,0.0016,0.49216,0
2516600,5821820,6640,40,40,40,0.0745,51,0,0.0014,1521.9456,0
2516600,5821860,6640,40,40,40,0.0769,51,0,0.001,421.78112,0
2516600,5821900,6640,40,40,40,0.0769,51,0,0.0009,140.2656,0
2516640,5821780,6640,40,40,40,0.0745,51,0,0.0017,235.5392,0
2516640,5821820,6600,40,40,40,0.0745,51,0,0.0014,2764.0096,0
2516640,5821820,6640,40,40,40,0.0745,51,0,0.0014,39.0976,0
2516640,5821860,6600,40,40,40,0.0745,51,0,0.0009,985.5456,0
2516640,5821860,6640,40,40,40,0.0745,51,0,0.0009,0.4768,0
2516640,5821900,6600,40,40,40,0.0745,51,0,0.0007,113.4784,0
2516520,5821940,6680,40,40,40,0.0769,51,100,0.0007,326.79424,0
2516520,5821980,6680,40,40,40,0.0769,51,100,0.0001,31.9904,0
2516520,5822020,6680,40,40,40,0.0769,51,100,0.0001,59.0592,0
2516520,5822060,6680,40,40,40,0.0769,51,100,0.0001,73.33184,0
2516560,5821940,6640,40,40,40,0.0769,51,0,0.0001,1617.23776,0
2516560,5821980,6640,40,40,40,0.0769,51,69.5,0.0001,576.31936,0
2516560,5822020,6640,40,40,40,0.0769,51,81.09,0.0001,251.98592,0
2516560,5822060,6640,40,40,40,0.0769,51,99.95,0.0001,249.52512,0
2516600,5821940,6600,40,40,40,0.0745,51,0,0.0001,2046.4256,0
2516600,5821940,6640,40,40,40,0.0769,51,0,0.0001,12.304,0
2516600,5821980,6600,40,40,40,0.0745,51,0,0.0001,828.2016,0
2516600,5822020,6600,40,40,40,0.0745,51,0,0.0001,310.8736,0
2516600,5822060,6600,40,40,40,0.0769,51,72.4,0.0001,380.93184,0
2516520,5822100,6680,40,40,40,0.0769,51,100,0.0001,98.432,0
2516520,5822140,6680,40,40,40,0.0769,51,100,0.0001,464.10688,0
2516520,5822180,6680,40,40,40,0.0769,51,100,0.0001,1124.09344,0
2516520,5822180,6720,40,40,40,0.076,0,100,0,0.4864,0
2516520,5822220,6680,40,40,40,0.0769,51,100,0.0008,2076.9152,0
2516520,5822220,6720,40,40,40,0.076,0,100,0,159.0528,0
2516560,5822100,6640,40,40,40,0.0769,51,100,0.0001,218.02688,0
2516560,5822140,6640,40,40,40,0.0769,51,100,0.0001,448.35776,0
2516560,5822180,6640,40,40,40,0.0769,51,99.77,0.0001,993.67104,0
